Latin name, Botanical family and Growth habit	Vernacular name(s)	Part(s) used, Use(s) and Reference(s)
Asteraceae, Herb		Roots: Fleshy white root dried, powdered, and mixed with warm animal grease as a poultice to be applied to aching joints [Metis: 13]. 
Cirsium discolor (Muhl. ex Willd.) Spreng.	common thistle (Eng.); chardon discolore (Fr.); kee-poo-cus-i-cun (Cree)	Dried, powdered and mixed with water to make a paste applied to wounds [Cree: 76].
Asteraceae, Herb		
Cirsium sp.	thistle (Eng.); chardon (Fr.); ma'zana'tĭg (Ojibwa)	Roots: Mixed with Populus balsamifera in a decoction taken internally to treat "female weakness" and back pain. Steeped with Taraxacum officinale and taken in confinement [Ojibwa: 47]. 
Asteraceae, Herb		
*Cirsium vulgare (Savi) Ten.	common thistle (Eng.); chardon vulgaire, piqueux (Fr.); ji'masa'nûck (Ojibwa)	Roots: Used for alleviating stomach cramps [Ojibwa: 87].
Syn.: C. lanceolatum (L.) Hill		
Asteraceae, Herb		
Cladina stellaris (Opiz) Brodo	reindeer lichen (Eng.); lichen à caribou, mousse à caribou (Fr.); wāpiskastaskamihk, atikōmīciwin (Cree)	Powdered and mixed with water to expel intestinal worms [Cree: 95].
Syn.: C. alpestris (L.) Rabenh.; Cladonia stellaris (Opiz) Pouzar & Vezda		
Cladoniaceae, Lichen		
Cladina rangiferina (L.) Nyl.	greygreen reindeer lichen (Eng.); lichen à caribou, mousse à caribou (Fr.); whapskumuk, epshatuk (Cree)	Used to treat diabetes [Cree: 82]. 
Cladoniaceae, Lichen		
Clintonia borealis (Aiton) Raf.	corn-lily, bluebead lily (Eng.); clintonie boréale (Fr.); gînose'wîbûg (Ojibwa); sestedomanuk, skaskataminask (Atikamekw) tshîtshue atâpukuat (Montagnais)	Pounded and applied to face and hands as a mosquito repellent [Atikamekw: 73]. Used to activate labour for childbirth [Ojibway: 73]. 
Liliaceae, Herb		Leaves: Poultice used in infections and open wounds [Algonquin: 69; Atikamekw: 73]. Boiled before being applied to swelling and hemorroids [Montagnais: 71]. Applied to burns. Decoction applied to treat scrofula [Ojibwa: 47].
		Roots: Tea used to help parturition. Put on a dog bite to prevent infection [Ojibwa: 87]. 

Clintonia uniflora (Menzies ex Schult. & Schult. f.) Kunth	single-flowered clintonia, Queens cup, bride's bonnet (Eng.); clintonie uniflore (Fr.)	Roots: Juice drunk in gravel [Algonquians: 63].
Syn.: Smilacina borealis (Aiton) Raf.		
Liliaceae, Herb		
Comarum palustre L.	marsh five-finger (Eng.); potentille palustre (Fr.); beba'akwûndek, bĭne'bûg (Ojibwa)	Plant used to cure stomach cramps [Ojibwa: 87]. 
Syn.: Potentilla palustris (L.) Scop.		Roots: Decoction used to treat dysentery [Ojibwa: 47].
Rosaceae, Herb		
Comptonia peregrina (L.) J.M. Coult.	sweet fern, ant wood (Eng.); comptonie voyageuse (Fr.); kba'agne-mins (Chippewa ); eninigsomo'zil (Malecite); kba'agne-minš, gibaime'nûna'gwûs (Ojibwa)	Used for catarrh. Steeped with yarrow and applied to sprain swelling [Malecite: 65]. Used to treat eczema, sores, cancer and poison ivy rash [Mi'kmaq: 61]. 
Syn.: Myrica asplenifolia L.		Leaves: Steeped and rubbed on the skin to cure poison ivy rash [Mi'kmaq: 60; Algonquians: 63]. Steeped with leaves of catnip (Nepeta calaria) to make an infusion to be used as a febrifuge [Chippewa: 85]. Tea used to make to cure the flux and stomach cramps [Ojibwa: 87]. Steeped and tea taken as a general tonic. Poultice used for rheumatism and external sores [Mi'kmaq: 62]. Crushed and the perfume inhaled or drunk as a tea for headache [Algonquin: 69].
Myricaceae, Shrub		
Conioselinum chinense (L.) Britton, Sterns & Poggenb.	Chinese hemlockparsley (Eng.); coniosélinum de Genesee (Fr.)	Roots: Steeped with Tsuga canadensis, Chimaphila umbellata and Rumex crispus and given in bladder problems [Mi'kmaq: 62].
Apiaceae, Herb		
Coptis trifolia (L.) Salisb.	golden thread (Eng.); coptide du Groenland, savoyane (Fr.); wizauke'skil (Malecite); wi'ca'uckomuk, uîshakâshkamuku (Montagnais/Innu); wijô'wapap'kôs (Abenaki); osawskamikwapi (Atikamekw); wesa wa'nikwe'ak , oza'widji'bĭg (Ojibwa)	Steeped, used to saturate a rag to be placed in sore mouth [Mi'kmaq: 61; Malecite: 65]. Used to treat frostbite or to stimulate appetite [Algonquin: 68].
Syn.: C. groenlandica (Oeder) Fernald		Stem: Tea used as a wash for sore eyes, lips and interior of mouth [Montaganais: 70]. Chewed to allay canker or sores on the gums or in the mouth. Used to ease mouths irritated by excessive tobacco smoking [Algonquians: 63].
Ranunculaceae, Herb		Roots: Used for sore eyes or steeped to make a stomach medicine [Mi'kmaq: 62]. Tea used for heart disease, toothache, diarrhoea and as an eyewash [Algonquin: 69; Atikamekw: 73]. Used for cough [Abenaki: 67; Atikamekw: 73]. Decoction used to soothe teething pain and heal gums, and as a mouth wash to treat sore mouth [Ojibwa: 87]. Decoction used for throat pain, cough and mouth infection [Montagnais: 71].
Cornus alternifolia L. f.	dogwood (Eng.); cornouiller à feuilles alternes (Fr.); muns-mins, moso'mîc, muj'omĭj' (Ojibwa)	Bark: Used as an eye bath [Chippewa: 85]. Decoction used as an emetic, in cough and fever [44]. 
Cornaceae, Tree		Inner bark: Used as an emetic [Ojibwa: 87]. 
		Roots: Alone or mixed with Cornus sericea and Alnus incana in a decoction used as a wash or compress to treat sore eyes [Ojibwa: 47]. 
Cornus canadensis L.	bunch berry, dogwood, dwarf cornel, pigeonberry (Eng.); cornouiller du Canada, quatre-temps, rougets (Fr.); ode'imînîdji'bîk (Ojibwa); patkéna'houk (Abenaki); saguminan (Atikamekw); shâshâkuminânakashî (Montagnais); nekutsahemen (Innu)	Medicinal plant [Innu: 72].Used to heal sores and cancers [Mi'kmaq: 61]. Steeped and used for paralysis [Algonquians: 63]. Boiled with Gaultheria procumbens and used for cold or mixed with Taxus canadensis twigs and used against menstrual disorders [Atikamekw: 73]. Decoction used for "stich in the side" [Abenaki: 67]. Steeped and the liquid drunk in kidney problems [Mi'kmaq: 62]. 
Cornaceae, Shrub		Whole plant: Boiled and liquid drunk for rheumatism and other types of pain [Montagnais: 71]. 
		Leaves: Used to prepare cathartic tea [Algonquin: 69]. 
		Roots, leaves and fruits: Steeped and given against fits [Malecite: 65]. 
		Roots: Tea used to cure colics [Ojibwa: 87]. 
Cornus florida L.	flowering dogwood (Eng.); cornouiller fleuri (Fr.); nemwatik (Chippewa)	Used for fever and cold [44]. 
Cornaceae, Tree		Inner bark: Mixed with other plants (Sanguinaria, Asarum and Ostrya) to make a cough remedy [Chippewa: 85]. 
Cornus foemina Mill.	stiff dogwood (Eng.)	Bark: Dried and mixed with tobacco for smoking [Algonquians: 63].
Syn.: C. stricta Lam.		
Cornaceae, Shrub		
Cornus racemosa Lam.	panicled dogwood (Eng.); cornouiller à grappes (Fr.); meskwabi'mîc (Ojibwa)	Bark: Tea used for flux. Inserted into the anus as a treatment for piles [Ojibwa: 87].
Syn.: C. paniculata L'Hér.		
Cornaceae, Shrub		
Cornus sericea L.	red-osier dogwood, red willow (Eng.); cornouiller stolonifère, hart rouge (Fr.); mehkwa pemakwa, mikwapamuk, mīhkwa pēmakwa, mīkōbīmāka, mikwanbimaka, mikwapimakwah, mithkwāpīmak, miskwāpīmak, mi(h)kwapiymak, mikwa piskaw, nipsiy wasaskwetow, pīmīhkwāhtik, mīhkwanīpisīya, mikobimuk (Cree); k'áik'ozé (Chipewyan); meskwabi-mins, mĭs'kwabi'mĭc (Ojibwa); nespipam'k' (Malecite); mamkawa'kousek (Abenaki); mîkuâpemuku (Montagnais)	Medicinal plant [Chippewa: 86]. Chewed and placed on fresh cuts to stop bleeding [Mi'kmaq: 43]. Steeped and used for diarrhoea or to make a wash to cure eruptions caused by poison ivy or by other poisons [Chippewa: 85]. Chewed and applied to sore eyes. Steeped and used as a gargle in sore throat. Used in catarrh [Malecite: 65].
Syn.: C. stolonifera Michx		Bark: Decoction from young bark used as an emetic in cold, cough and fever [Cree: 42]. Peeled, mixed with another plant, boiled, and a cloth soaked in the solution is applied to sore eyes [Cree: 13]. Applied to wounds to stop bleeding or drunk as a tea for cold [Algonquin: 69]. Smoked [Ojibwa: 86]. Infusion used to treat eye problems [Abenaki: 67]. Boiled and used in a mixture with barks of poplar, birch and spruce to treat cough and cold [Dene: 17]. Herbal water taken for diarrhoea and to induce vomiting [Cree: 93].
Cornaceae, Shrub		Stems: Tea taken for chest trouble and to cure stoppage of urine [Dene: 13; Chipewyan: 92].
		Roots: Tea drunk to treat dizziness [Dene: 13; Chipewyan: 92] or stomach problems [Cree: 96]. Mixed with other herbs in a decoction given to children to stop diarrhoea [Cree: 13]. Mixed with Cornus alternifolia and Alnus incana in a decoction used as a wash or compress to treat sore eyes [Ojibwa: 47]. Scraped and mixed with Aralia racemosa and smoked to treat headache [Malecite: 65]. Used to treat aching muscles and soreness [Dene: 17]. 
		Fruits: Boiled and taken to treat tuberculosis [Dene: 98]. 
		Fruits or pith: Used to make a wash to treat snow blindness [Cree: 95]. 
		Pith: Used in cataracts [Cree: 95]. 
		Bark and twigs: Decoction used for skin or eye problems [Montagnais: 71].
		Leaves: Crushed and used to treat burns, bee stings and insect bites [Dene: 100]. 

Cornus sp.	willow, dogwood (Eng.); cornouiller (Fr.)	Bark: Minced, boiled and applied as a poultice in sprains [Algonquin: 75].
Cornaceae, Shrub		
Corydalis aurea Willd.	golden corydalis (Eng.); corydale dorée (Fr.); tîpotîe'kwason (Ojibwa)	Roots: Placed on coals and smoke inhaled to clear the head and as a tonic [Ojibwa: 87]. 
Fumariaceae, Herb		
Corylus americana Walt.	American hazelnut (Eng.); noisetier d'Amérique (Fr.); mûkwobaga'nak (Ojibwa)	Bark: Boiled and used as a poultice to heal cuts [Ojibwa: 87]. 
Betulaceae, Shrub		Stalk: Burned and charcoal combined with bear gall pricked into the temples with needles to treat convulsions [Ojibwa: 47]. 
Corylus cornuta Marsh.	beaked hazelnut (Eng.); noisetier à long bec (Fr.); bagan', baga'nak (Ojibwa); pakanatuk (Atikamekw)	Hairs of the husk used to expel worms [Ojibwa: 87].
Syn : C. rostrata Ait.		Branches and leaves: Tea used in heart trouble and intestinal disorders [Atikamekw: 73; Algonquin: 69]. 
Betulaceae, Tree		
Crataegus sp.	hawthorn (Eng.); aubépine (Fr.); minesgan-wins, mînesaga'wûnj (Chippewa)	Bark: Medicinal [Chippewa: 85, 87]. 
Rosaceae, Tree		Roots: Medicinal [Chippewa: 85, 87]. Mixed with other plants in a decoction given to treat "female weakness" and back pain [Ojibwa: 47]. 
*Cucurbita maxima Duchesne	squash (Eng.); courge (Fr.); ogwîssi'maun o'wasokwûne'k (Ojibwa)	Seeds: Tea drunk as a diuretic [Ojibwa: 87].
Cucurbitaceae, Vine		
Cynoglossum virginianum L. var. boreale (Fernald) Cooperr.	hound's tongue (Eng.); cynoglosse boréal (Fr.); masa'n (Ojibwa) 	Smoked to cure headache [Ojibwa: 87]. 
Syn.: C. boreale Fernald		
Boraginaceae, Herb		
Cypripedium acaule Aiton	lady'slipper, moccasin flower, nerve root (Eng.); cypripède acaule, sabot de la vierge (Fr.); kamidjetotapi (Atikamekw); ago'biso'wĭn (Ojibwa)	Roots: Steeped and used for nervousness [Algonquians: 63; Mi'kmaq: 60]. Used in venereal disease and menstrual disorders [Algonquin: 69]. Boiled and used against stomachache, urinary tract disorders and kidney problems for children [Atikamekw: 73]. Powdered, moistened and used to treat toothache. Steeped and taken in indigestion. Poultice applied to skin inflammation [Chippewa: 47].
Orchidaceae, Herb		Flowers: Powdered, moistened and used to treat toothache [Chippewa: 88]. 
Cypripedium parviflorum Salisb.	ladyslipper (Eng.); cypripède jaune (Fr.); ma'kasîn (Ojibwa)	Rhizomes: Used as a sedative, antispasmodic or depressant [Cree: 74]. 
Orchidaceae, Herb		Roots: Used for "female troubles" [Ojibwa: 87]. 
Cypripedium reginae Walter	showy lady's slipper (Eng.); cypripède royal (Fr.)	Roots: Used as a sedative in nervous disorders [Penosbcot: 44]. 
Orchidaceae, Herb		
Dactylorhiza viridis (L.) R.M. Bateman, A.M. Pridgeon & M.W. Chase	rein orchis (Eng.); habénaire à longues bractées (Fr.); goko'cgûnda mînêskwe'mîn (Ojibwa)	Aphrodisiac [Ojibwa: 87]. 
Syn.: Habenaria bracteata (Muhl. ex Willd.) R. Br.		
Orchidaceae, Herb		
Dalea purpurea Vent.	purple prairie-clover (Eng.); dalée violette (Fr.); ba'sibûgûk' (Ojibwa)	Leaves and flowers: Decoction taken for heart trouble [Ojibwa: 47]. 
Syn.: Petalostemon purpureus (Vent.) Rydb.		
Fabaceae, Herb		
Dasiphora fruticosa (L.) Rydb. ssp. floribunda (Pursh) Kartesz Syn.: Potentilla fruticosa auct. non L.	shrubby cinquefoil (Eng.); potentille frutescente (Fr.)	Whole plant: Decoction taken as a tea to treat fever [Dene: 98]. 
Rosaceae, Shrub		
Delphinium glaucum S. Watson	tall larkspur (Eng.); pied-d'alouette glauque (Fr.)	Whole plant: Tea used to wash hair and kill lice [Dene: 100].
Ranunculaceae, Herb		
Diervilla lonicera Mill.	bush honeysuckle (Eng.); dièreville chèvrefeuille, herbe bleue (Fr.); wežauškwagmik, osawa'skanet (Ojibwa); maskōcīpihk (Cree); asasunatuk (Atikamekw)	Bark: Infusion used as an eye wash and against constipation [Ojibwa: 85]. 
Caprifoliaceae, Shrub		Roots or stem: Infusion or decoction cooled and applied to sore eyes [Cree: 95]. 
		Roots: Tea used to induce lactation at the time of childbirth [Cree: 95]. Mixed with other plants and used for urinary problems [Ojibwa: 87]. 
		Leaves: Diuretic when used with Cornus canadensis [Atikamekw: 73]. Decoction taken in stomach pain [Ojibwa: 47].
Dirca palustris L.	moosewood, leatherwood, wicopy, rope-bark (Eng.); dirca des marais, bois de plomb (Fr.); djibe'gûb (Ojibwa)	Roots: Steeped to make a drink for pulmonary troubles [Ojibwa: 85]. Mixed with Artemisia dracunculus in a decoction used as a hair ointment [Ojibwa: 47].
Thymelaceae, Shrub		Bark: Tea used as a diuretic [Ojibwa: 87]. 
		Inner bark: Tea used as a laxative [Algonquin: 69]. 
		Stalk: Dreid, pulverized and steeped in water and taken as a physic; green stalk chewed as a physic [Ojibwa: 47]. 
Dryopteris carthusiana (Vill.) H. P. Fuchs	spinulose shield fern (Eng.); dryoptère spinuleuse (Fr.); ku(h)kuguwpuk (Cree)	Frond: Mixed with other plants in a decoction drunk for kidney pain. A different mix is used as a wash for skin diseases, and yet another mix is smoked to treat insanity [Dene: 13].
Dryopteridaceae, Herb		
Dryopteris expansa (C. Presl) Fraser-Jenkins & Jermy	spreading wood fern (Eng.); dryoptère dressée (Fr.)	Young shoots: Boiled and eaten to stimulate appetite [Cree: 93].
Dryopteridaceae, Herb		Roots: Cancer medicine [Cree: 93].
Dryopteris marginalis (L.) A. Gray	marginal shield fern (Eng.); dryoptère à sores marginaux, dryoptéride marginale (Fr.)	Rhizomes: Infusion drunk as a vermifugal [Cree: 74]. 
Dryopteridaceae, Herb		
Dryopteris sp.	fern (Eng.); dryoptère, dryoptéride (Fr.); uîshakâtshâkuat (Montagnais)	Leaves: Dried, steeped into hot water and applied to swells and hemorroids [Montagnais: 71]. 
Dryopteridaceae, Herb		
Echinocystis lobata (Michx.) Torr. & A. Gray	wild balsam-apple (Eng.); échinocystis lobé, concombre sauvage (Fr.); nîgîtîni'gûnûk (Ojibwa)	Roots: Tea used as a tonic and as a bitter medicine for stomach troubles [Ojibwa: 87].
Cucurbitaceae, Vine		
Echinodontium tinctorium (Ellis & Ev.) Ellis & Ev.	Indian paint fungus (Eng.); meah-kis-igun (Cree)	Powdered and mixed with water to make a paste applied to wounds or given internally as an emetic [Cree: 76].
Echinodontiaceae, Fungi		
Empetrum nigrum L.	crowberry, curlewberry (Eng.); camarine noire, graines noires (Fr.); askīmināsiht, ebshjimend (Cree); dineech'ùh (Dene)	Whole plant: Tea drunk for diarrhoea [Dene: 100].
Empetraceae, Shrub		Berries: Used to treat diabetes [Cree: 82]. 
		Roots: Mixed with other plants in a decoction drunk to treat cough [Dene: 13; Chipewyan: 92]. 
		Twigs: Used as a diuretic [Cree: 95]. Boiled with spruce cones and tea applied to sores, or drunk to cure mouth infections and sore throats [Dene: 101].
		Roots, berries and stems: Tea drunk for stomach ache and cold [Dene: 99].
		Branches and roots: Boiled and tea drunk to cure mouth infections [Dene: 101].
		Branches and berries: Boiled and tea drunk to ease menstrual pain, pain related to child birth, and to cure mouth infections. Also applied to rashes [Dene: 101]. 
Epigaea repens L.	trailing arbutus, mayflower (Eng.); épigée rampante, fleur de mai (Fr.)	Leaves: Tea drunk for kidney disorders [Algonquin: 69].
Ericaceae, Shrub		
Equisetum arvense L.	horsetail (Eng.); prêle des champs, queue de renard (Fr.); mistatimosoy, okotāwask, enskowusk, kiychiwiykusk (Cree); jasibonskok, gîji'bînûsk (Ojibwa); kheh dyè' (Dene)	Tea used to treat kidney problems, bladder infections or urinary track problems [Dene: 100].
Equisetaceae, Herb		Whole plant: Tea used to cure dropsy [Ojibwa: 87]. 
		Above-ground fertile shoots: Decoction used as a diuretic or in kidney troubles [Cree: 95]. 
		Stem and leaves: Burned and the ashes applied to running sores [Metis: 13]. Steamed for nasal congestion, cold and stomach ailments [Dene: 99]. 
		Stem: Decoction drunk as a remedy for dysuria [Ojibwa: 85]. Herbal water used to treat kidney problems [Cree: 93].
		Roots: Heated and applied to aching teeth [Metis: 13]. 
Equisetum hyemale L.	scouring rush, horsetail (Eng.); prêle d'hiver (Fr.); gijib'inûskon' (Ojibwa)	Leaves: Burned and used as a disinfectant [Ojibwa: 47]. 
Equisetaceae, Herb		Above-ground parts: Tea taken in kidney problems [Cree: 96].

Equisetum palustre L.	marsh horsetail (Eng.); prêle des marais (Fr.)	Mixed with Monarda punctata in a tea used for constipation or stomach trouble [Ojibwa: 19].
Equisetaceae, Herb		
Equisetum pratense Ehrh	common horsetail (Eng.); prêle des prés (Fr.); wishgobidjibik (Ojibwa)	Mixed with horse-mint in a tea used in stomach trouble [Ojibwa: 86].
Equisetaceae, Herb		Roots: Decoction taken as a diuretic [Dene: 98]. Boiled with the roots of Rubus idaeus ssp. strigosus and taken in stomach problems [Dene: 98].
Equisetum sylvaticum L.	horsetail (Eng.); prêle des bois (Fr.); mistatimosoy, okotāwask, enskowusk, kiychiwiykusk (Cree); siba'mûckûn (Ojibwa)	Rhizomes: Mixed with other plants and boiled to make a wash for skin diseases [Dene: 13]. 
Equisetaceae, Herb		Whole plant: Tea used to cure kidney trouble and dropsy [Ojibwa: 87].
Erigeron canadensis L.	Canadian horseweed (Eng.); érigéron du Canada (Fr.); gababi'kwûna'tĭg (Ojibwa)	Used in diarrhoea [Cree: 42]. 
Asteraceae, Herb		Whole plant: Steeped to treat "female weaknesses" [Ojibwa: 47].
		Leaves and roots: Decoction taken in stomach pain [Ojibwa: 47]. 
Erigeron philadelphicus L.	Philadelphia fleabane (Eng.); érigéron de Philadelphie (Fr.); mîcaogacan (Ojibwa)	Flowers: Dried, smoked and inhaled to cure cold, or tea drunk to break fever [Ojibwa: 87].
Asteraceae, Herb		
Erigeron sp.	Canada fleabane (Eng.)	Decoction used for diarrhoea [44].
Asteraceae, Herb		
Erigeron strigosus Muhl. ex Willd.	daisy fleahane (Eng.); érigéron hispide (Fr.); nokwe'sîgûn (Ojibwa)	Perfume inhaled to cure headache [Ojibwa: 87].
Syn.: E. ramosus (Walt.) BSP		
Asteraceae, Herb		
Eriophorum sp.	cotton grass (Eng.); linaigrette (Fr.)	Boiled and drunk for stomach problems [Dene: 17]. 
Cyperaceae, Herb		Roots: Used in a mixture with spruce bark or spruce tips (new growth) to treat cancer [Dene: 17].
*Eryngium aquaticum L.	button snakeroot (Eng.); panicaut aquatique (Fr.)	Remedy for snake bite. Mixed with Iris versicolor and used as a febrifuge or diuretic [44]. 
Apiaceae, Herb		
*Erysimum cheiranthoides L.	wormseed mustard (Eng.); vélar giroflée, herbe au chantre (Fr.); o'zawa'bigwûn (Ojibwa)	Roots: Decoction used to treat skin eruptions [Ojibwa: 47]. 
Cruciferea, Herb		
Eupatorium maculatum L.	joe-pye-weed (Eng.); eupatoire maculée (Fr.); me'skwana'k bû'giso'wĭn (Ojibwa)	For menstrual disorders and venereal diseases, or to facilitate childbirth [Algonquin: 69]. 
Asteraceae, Herb		Roots: Decoction used as a wash for inflamed joints [Ojibwa: 47]. 
Eupatorium perfoliatum L.	thoroughwort, common boneset (Eng.); eupatoire perfoliée, herbe à souder (Fr.); siabuksing, sasabwaksing, niya'wibûkûk' (Ojibwa); maladag'kwinbisoun (Abenaki)	Used as general medicine [Mi'kmaq: 62]. Steeped with other plants (Pyrola uliginosa, Baptisia tinctoria, Galium aperine, Aralia racemosa, Streptopus amplesifolius, Acer pennsylvanicum) and used for gonorrhea, kidney troubles and blood spitting [Algonquians: 63]. Used to strengthen the bones [Abenaki: 67]. Decoction used for fever and cold [44]. Chewed and bound on a rattle-snake bite as a poultice to draw out the poison. Boiled with wild bergamot (Monarda fistulosa) to make a fomentation to be applied for rheumatism [Ojibwa: 85]. 
Asteraceae, Herb		Roots: Used for menstrual disorders [Ojibwa: 85]. Steeped and liquid taken to treat ulcers [Mi'kmaq: 62]. 
Eupatorium purpureum L.	joe-pye weed (Eng.); eupatoire pourpre (Fr.); biaskagemesek (Ojibwa)	Boiled and the vapors inhaled to treat cold. Mixed with other species and used to counteract the effects of a miscarriage [Ojibwa: 85]. 
Asteraceae, Herb		
Euphorbia corollata L.	flowering spurge (Eng.); euphorbe pétaloïde (Fr.); cabosî'kûn, (Ojibwa)	Roots: Pounded and taken as an infusion before eating as a physic [Ojibwa: 87]. 
Euphorbiaceae, Herb		
Euphorbia sp.	spurge (Eng.); euphorbe (Fr.)	Leaves: Tea used to treat diabetes [Algonquin: 69].
Euphorbiaceae, Herb		
Eurybia macrophylla (L.) Cass.	large-leaved aster (Eng.); aster à grandes feuilles, pétouane (Fr.); naskosi'îcûs (Ojibwa)	Roots: Tea from young roots used to bathe the head for headache [Ojibwa: 87].
Syn.: Aster macrophyllus L.		
Asteraceae, Herb		
Euthamia graminifolia (L.) Nutt.	grass leaf goldenrod (Eng.); verge d'or graminifoliée (Fr.); wasa'waskwûne'k (Ojibwa)	Flowers: Infusion used for chest pain [Ojibwa: 87]. 
Syn.: Solidago graminifolia (L.) Salisb.		Roots: Decoction used in lung trouble [Ojibwa: 47].
Asteraceae, Herb		
Evernia mesomorpha Nyl.	spruce moss (Eng.); k'itsanjú (Chipewyan)	Cooled decoction used as eye drops to treat snow blindness [Dene: 13; Chipewyan: 92].
Parmeliaceae, Lichen		
Fagus grandifolia Ehrh.	beech (Eng.); hêtre à grandes feuilles (Fr.); šewe-minš (Ojibwa); miki'kwimus (Malecite)	Bark: Used as a general medicine [Mi'kmaq: 62]. Mixed with bark of Betula lenta and Cornus sericea and used for pulmonary trouble [Ojibwa: 85]. 
Fagaceae, Tree		Leaves: Applied to sores [Malecite: 65]. Soothing to the nerves and the stomach and help stimulate appetite [Mi'kmaq: 62]. 
		Bark and leaves: Mixed with water and used as a tonic, antiseptic, or to heal ulcers, liver, kidney or bladder [Mi'kmaq: 62].
Fomes fomentarius (L. Ex Fries) J. Kickx f.	tinder fungus (Eng.); amadouvier (Fr.); wāsāsukwītwī, wāsaskwītoy, posākan (Cree).	Fruiting body burned to repell mosquitoes and flies [Metis: 13). Dry, spore producing layer cut into matchstick shaped pieces and placed on the skin and burned to produce counter-irritation to treat arthritis [Cree: 95].
Polyporaceae, Fungi		
Fomes officinalis	agarikon (Eng.); polypore officinal (Fr.); wah-pah-toos (Cree)	Pulverized and applied to frostbite [Cree: 76].
Polyporaceae, Fungi		
Fomes pinicola (Swartz) Cooke	polypore marginé, amadouvier des pins (Fr.); mech-quah-too (Cree)	Powdered and mixed with water to make a paste applied to wounds or taken internally as an emetic [Cree: 76]. Smoked to treat headache [Dene: 98].
Polyporaceae, Fungi		

Fragaria vesca L. ssp. bracteata (A. Heller) Staudt	woodland strawberry (Eng.); fraisier (Fr.)	Leaves, roots and fruits: Mixed with boiling water and used as a blood purifier and blood-building agent [Mi'kmaq: 62].
Syn.: F. bracteata A. Heller		Leaves or roots: Tea given as a gargle for gum problems, or used in diarrhoea or dysentery, weakness of the intestines, infections of urinary organs, or to prevent night sweats [Mi'kmaq: 62]. 
Rosaceae, Herb		Fruits: Heart medicine [Dene: 17].
		Runners: Boiled with 'Petasites sagittatus and 'Pyrola asarifolia and drunk as a medicine [Dene: 17].
Fragaria virginiana Duchesne.	wild strawberry (Eng.); fraisier des champs (Fr.); ode'imĭnĭdji'bĭk (Ojibwa); otehimina, otīhīminah, okdeamena, owtiyhiymin, otīhīminipukwah (Cree); 	Steeped with Rubus triflorus and given in irregular menstruation [Malecite: 65]. 
Rosaceae, Herb		Whole plant: Decoction drunk to treat heart problems [Cree: 13]. Boiled and the liquid drunk as a treatment for diarrhoea [Metis: 13; Cree: 93]. 
		Leaves: Used as an astringent [Ojibwa: 88]. 
		Roots: Used as a diuretic [Ojibwa: 88]. Decoction used in cholera [Ojibwa: 47] and tea in stomach ache [Ojibwa: 87]. Herbal water taken for heart problems [Cree: 93].
		Fruits: Heart medicine [Dene: 17].
		Runners: Boiled with 'Petasites sagittatus and 'Pyrola asarifolia and drunk as a medicine [Dene: 17].
Fragaria virginiana Duchesne ssp. glauca (S. Watson) Staudt	smooth wild strawberry, Virginia strawberry (Eng.); fraisier glauque (Fr.)	Roots: Burned and the ash mixed with water and placed on open sores [Dene: 98]. 
Rosaceae, Herb		
Fraxinus americana L.	yellow ash (Eng.); frêne d'Amérique, frêne blanc (Fr.); ôgmakw (Abenaki)	Used as an emmenagogue [Abenaki: 67]. 
Oleaceae, Tree		Leaves: Strong decoction given as a cleanser after delivery [Algonquians: 63; Mi'kmaq: 60]. 
		Wood: Smoke used to treat earache [Algonquin: 68].
Fraxinus nigra Marsh.	black or water ash (Eng.); frêne noir, frêne gras (Fr.); a'gimak' (Ojibwa)	Inner bark: Soaked in water and the liquid applied to sore eyes [Ojibwa: 84].
Oleaceae, Tree		
Fraxinus pennsylvanica Marsh.	red ash (Eng.); frêne de Pennsylvanie, frêne rouge (Fr.); a'gîma'k (Ojibwa)	Inner bark: Mixed with other plants and used as a tonic [Ojibwa: 87]. Tea used against weariness and depression [Atikamekw: 73].
Oleaceae, Tree		
Fraxinus sp.	ash (Eng.); frêne (Fr.); a'gimak' (Ojibwa)	Log or branch: Placed in fire, sap collected from the opposite end and used to treat earache [Algonquin: 69]. 
Oleaceae, Tree		Inner bark: Decoction taken internally as a tonic and stimulant [Ojibwa: 47]. 
*Galeopsis tetrahit L.	hemp nettle (Eng.); galéopside à tige carrée (Fr.); amisko wehkuswa (Cree)	Tea drunk to calm nerves, reduce hyperactivity in children, as a spring tonic, to restore appetite, and to treat bad breath [Dene: 13].
Lamiaceae, Herb		Leaves: Chewed to treat severe hiccups [Dene: 13].

Galium aparine L.	goose grass (Eng.); gaillet gratteron (Fr.); sakate'bwi (Ojibwa)	Used for gonorrhea, kidney troubles and for blood spitting [Algonquians: 63]. 
Rubiaceae, Herb		Whole plant: Tea used as a diuretic, in kidney trouble, gravel, stoppage of urine, and allied ailments [Ojibwa: 87].
		Stem: Dipped in cold water and rubbed on rashes or other skin troubles [Algonquians: 63].
Galium boreale L.	northern bedstraw (Eng.); gaillet boréal (Fr.)	Used as a diuretic [Cree: 42]. Flowering plant boiled and drunk to treat stomach ache [Dene: 17]. 
Rubiaceae, Herb		
Galium tinctorium (L.) Scop.	small cleaver (Eng.); gaillet des teinturiers (Fr.); waboskîki'mînûn (Ojibwa)	Whole plant: Tea used for beneficial effects upon the respiratory organs [Ojibwa: 87].
