id	description	type	source	_plantPart
105	Infusion used for rheumatism and sciatica [Cree: 74].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	flowers
106	Steeped and infusion drunk to cure constipation, bloating and shortness of breath. Mixed with roots or branches of wild grape, roots of Hepatica, bark of beech, and inner bark of sugar maple, black birch and red-osier dogwood, all steeped together to make a remedy for pulmonary troubles [Ojibwa: 85].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
107	Used in lung troubles and as an emetic [Ojibwa: 47].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
107	Decoction taken in cough [Ojibwa: 47].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
108	Medicinal plant [Ojibwa: 86]. 	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
108	Cooked in animal fat, strained, and used as an ointment for cancer or obstinate sore [Chippewa: 85; Ojibwa: 87]. Decoction used to treat stoppage of urine [Chippewa: 47], or as a physic or diuretic.	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
108	Used for sotmach troubles [Ojibwa: 87].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	fruits
108	Decoction used in skin eruptions [Ojibwa: 87].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	stalk
109	Boiled and taken to treat tuberculosis [Dene: 98]. 	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
110	Cushed and applied to relieve headache, boiled and inhaled to cure backache [Ojibwa: 84].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	leaves
111	Steeped into water and used as a compress or tea for headache [Montagnais: 71].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	bark or twigs
112	Applied to treat cuts [Algonquin: 75] or used in cough [Abenaki: 67].Young tops eaten to "strengthen the blood" [Metis: 13]. Tea used to relieve a sore stomach [Dene: 101]. 	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
112	Tea taken to treat intestinal worms [Dene: 13; Chipewyan: 92]. Boiled and the liquid rubbed on the skin to ease rashes [Dene: 99].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	whole plant
112	Chewed and applied as a plaster on bruises [Metis: 13; Cree: 95]. Poultice from fresh or dried leaves applied to bruises [Chippewa: 47], burns, bee stings, aches and swelling caused by arthritis [Dene: 99]. Chewed and applied to bee stings and bites [Dene: 100].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	leaves
112	Roasted in ashes, mashed, and applied to boils [Algonquin: 68]. Peeled, chewed or pounded, and applied as a poultice on boils, carbuncle, abscesses or open wounds to prevent infection [Metis: 13; Cree: 95; Ojibwa: 87]. Boiled and used for skin problems [Atikamekw: 73]. Herbal water taken to induce menses [Cree: 93].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
113	Tea used to relieve a sore stomach [Dene: 101]. 	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
113	Chewed and applied to bee stings and bites [Dene: 100].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	leaves
114	Steeped and given to prevent pregnancy [Malecite: 65]. 	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
114	Used with cedar bark to prepare a medicinal tea [Algonquin: 69].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
115	Dipped in maple or birch sap and used to treat cold [55]. Decoction taken or applied to treat painful limbs [Cree: 95].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	leaves
116	Infusion taken to relieve painful menstruation [44].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	whole plant
117	Mixed with other species to make a remedy for gonorrhoea and ulcers. Steeped and applied to blisters [Ojibwa: 85]. Applied to open sores and ingested as a tonic and diuretic [44]. Used as an ingredient in a decoction to treat backache or stabbing pain in the chest. Tea or decoction used in blood coughing [Cree: 95]. Steeped with common Juniper and taken in consumption. Steeped and taken to purify blood [Malecite: 65]. Used as a medicine for head colds [Abenaki: 67]. Used in tuberculosis and as a general stomach medicine [Mi'kmaq: 62; Ojibwa: 87]. Boiled and drunk to induce sweating [Algonquians: 63].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
117	Decoction used to treat sore eyes [Ojibwa: 47]. Steeped with Conioselium chinense, Tsuga canadensis, and Rumex crispus and given in bladder problems [Mi'kmaq: 62].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
118	Smoked to cure headache [Dene: 98].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
119	Medicinal [Ojibwa: 87]. Dried and powdered to make a liniment applied externally [Cree: 95].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
120	Boiled for consumption [Algonquians: 63]. Tonic, diuretic and astringent [Chippewa: 47]. Used as a bowel tonic [Ojibwa: 87] or as a vermifuge for children [Abenaki: 67]. Used to reduce itching, particularly that caused by Rhus radicans (poison ivy) [Algonquin: 68].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
120	Fleshy white root dried, powdered, and mixed with warm animal grease as a poultice to be applied to aching joints [Metis: 13].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
121	Dried, powdered and mixed with water to make a paste applied to wounds [Cree: 76].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
122	Mixed with Populus balsamifera in a decoction taken internally to treat "female weakness" and back pain. Steeped with Taraxacum officinale and taken in confinement [Ojibwa: 47].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
123	Used for alleviating stomach cramps [Ojibwa: 87].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
124	Powdered and mixed with water to expel intestinal worms [Cree: 95].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
125	Used to treat diabetes [Cree: 82]. 	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
126	Pounded and applied to face and hands as a mosquito repellent [Atikamekw: 73]. Used to activate labour for childbirth [Ojibwa: 73]. 	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
126	Poultice used in infections and open wounds [Algonquin: 69; Atikamekw: 73]. Boiled before being applied to swelling and hemorroids [Montagnais: 71]. Applied to burns. Decoction applied to treat scrofula [Ojibwa: 47].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	leaves
126	Tea used to help parturition. Put on a dog bite to prevent infection [Ojibwa: 87].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
127	Juice drunk in gravel [Algonquians: 63].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
128	Plant used to cure stomach cramps [Ojibwa: 87]. 	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
128	Decoction used to treat dysentery [Ojibwa: 47].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
129	Used for catarrh. Steeped with yarrow and applied to sprain swelling [Malecite: 65]. Used to treat eczema, sores, cancer and poison ivy rash [Mi'kmaq: 61]. 	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
129	Steeped and rubbed on the skin to cure poison ivy rash [Mi'kmaq: 60; Algonquians: 63]. Steeped with leaves of catnip (Nepeta calaria) to make an infusion to be used as a febrifuge [Chippewa: 85]. Tea used to make to cure the flux and stomach cramps [Ojibwa: 87]. Steeped and tea taken as a general tonic. Poultice used for rheumatism and external sores [Mi'kmaq: 62]. Crushed and the perfume inhaled or drunk as a tea for headache [Algonquin: 69].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	leaves
130	Steeped with Tsuga canadensis, Chimaphila umbellata and Rumex crispus and given in bladder problems [Mi'kmaq: 62].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
131	Steeped, used to saturate a rag to be placed in sore mouth [Mi'kmaq: 61; Malecite: 65]. Used to treat frostbite or to stimulate appetite [Algonquin: 68].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
131	Tea used as a wash for sore eyes, lips and interior of mouth [Montaganais: 70]. Chewed to allay canker or sores on the gums or in the mouth. Used to ease mouths irritated by excessive tobacco smoking [Algonquians: 63].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	stem
131	Used for sore eyes or steeped to make a stomach medicine [Mi'kmaq: 62]. Tea used for heart disease, toothache, diarrhoea and as an eyewash [Algonquin: 69; Atikamekw: 73]. Used for cough [Abenaki: 67; Atikamekw: 73]. Decoction used to soothe teething pain and heal gums, and as a mouth wash to treat sore mouth [Ojibwa: 87]. Decoction used for throat pain, cough and mouth infection [Montagnais: 71].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
132	Used as an eye bath [Chippewa: 85]. Decoction used as an emetic, in cough and fever [44].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	bark
132	Used as an emetic [Ojibwa: 87].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	inner bark
132	Alone or mixed with Cornus sericea and Alnus incana in a decoction used as a wash or compress to treat sore eyes [Ojibwa: 47].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
133	Medicinal plant [Innu: 72].Used to heal sores and cancers [Mi'kmaq: 61]. Steeped and used for paralysis [Algonquians: 63]. Boiled with Gaultheria procumbens and used for cold or mixed with Taxus canadensis twigs and used against menstrual disorders [Atikamekw: 73]. Decoction used for "stich in the side" [Abenaki: 67]. Steeped and the liquid drunk in kidney problems [Mi'kmaq: 62]. 	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
133	Boiled and liquid drunk for rheumatism and other types of pain [Montagnais: 71].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	whole plant
133	Used to prepare cathartic tea [Algonquin: 69].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	leaves
133	Steeped and given against fits [Malecite: 65].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots, leaves and fruits
133	Tea used to cure colics [Ojibwa: 87].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
134	Used for fever and cold [44]. 	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
134	Mixed with other plants (Sanguinaria, Asarum and Ostrya) to make a cough remedy [Chippewa: 85].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	inner bark
135	Dried and mixed with tobacco for smoking [Algonquians: 63].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	bark
136	Tea used for flux. Inserted into the anus as a treatment for piles [Ojibwa: 87].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	bark
137	Medicinal plant [Chippewa: 86]. Chewed and placed on fresh cuts to stop bleeding [Mi'kmaq: 43]. Steeped and used for diarrhoea or to make a wash to cure eruptions caused by poison ivy or by other poisons [Chippewa: 85]. Chewed and applied to sore eyes. Steeped and used as a gargle in sore throat. Used in catarrh [Malecite: 65].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
137	Decoction from young bark used as an emetic in cold, cough and fever [Cree: 42]. Peeled, mixed with another plant, boiled, and a cloth soaked in the solution is applied to sore eyes [Cree: 13]. Applied to wounds to stop bleeding or drunk as a tea for cold [Algonquin: 69]. Smoked [Ojibwa: 86]. Infusion used to treat eye problems [Abenaki: 67]. Boiled and used in a mixture with barks of poplar, birch and spruce to treat cough and cold [Dene: 17]. Herbal water taken for diarrhoea and to induce vomiting [Cree: 93].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	bark
137	Tea taken for chest trouble and to cure stoppage of urine [Dene: 13; Chipewyan: 92].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	stems
137	Tea drunk to treat dizziness [Dene: 13; Chipewyan: 92] or stomach problems [Cree: 96]. Mixed with other herbs in a decoction given to children to stop diarrhoea [Cree: 13]. Mixed with Cornus alternifolia and Alnus incana in a decoction used as a wash or compress to treat sore eyes [Ojibwa: 47]. Scraped and mixed with Aralia racemosa and smoked to treat headache [Malecite: 65]. Used to treat aching muscles and soreness [Dene: 17].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
137	Boiled and taken to treat tuberculosis [Dene: 98].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	fruits
137	Used to make a wash to treat snow blindness [Cree: 95].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	fruits or pith
137	Used in cataracts [Cree: 95].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	pith
137	Decoction used for skin or eye problems [Montagnais: 71].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	bark and twigs
137	Crushed and used to treat burns, bee stings and insect bites [Dene: 100].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	leaves
138	Minced, boiled and applied as a poultice in sprains [Algonquin: 75].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	bark
139	Placed on coals and smoke inhaled to clear the head and as a tonic [Ojibwa: 87].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
140	Boiled and used as a poultice to heal cuts [Ojibwa: 87].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	bark
140	Burned and charcoal combined with bear gall pricked into the temples with needles to treat convulsions [Ojibwa: 47].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	stalk
141	Hairs of the husk used to expel worms [Ojibwa: 87].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
141	Tea used in heart trouble and intestinal disorders [Atikamekw: 73; Algonquin: 69].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	branches and leaves
142	Medicinal [Chippewa: 85, 87].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	bark
142	Medicinal [Chippewa: 85, 87]. Mixed with other plants in a decoction given to treat "female weakness" and back pain [Ojibwa: 47].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
143	Tea drunk as a diuretic [Ojibwa: 87].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	seeds
144	Smoked to cure headache [Ojibwa: 87]. 	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
145	Steeped and used for nervousness [Algonquians: 63; Mi'kmaq: 60]. Used in venereal disease and menstrual disorders [Algonquin: 69]. Boiled and used against stomachache, urinary tract disorders and kidney problems for children [Atikamekw: 73]. Powdered, moistened and used to treat toothache. Steeped and taken in indigestion. Poultice applied to skin inflammation [Chippewa: 47].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
145	Powdered, moistened and used to treat toothache [Chippewa: 88].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	flowers
146	Used as a sedative, antispasmodic or depressant [Cree: 74].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	rhizomes
146	Used for "female troubles" [Ojibwa: 87].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
147	Used as a sedative in nervous disorders [Penosbcot: 44].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
148	Aphrodisiac [Ojibwa: 87]. 	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
149	Decoction taken for heart trouble [Ojibwa: 47].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	leaves and flowers
150	Decoction taken as a tea to treat fever [Dene: 98].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	whole plant
151	Tea used to wash hair and kill lice [Dene: 100].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	whole plant
152	Infusion used as an eye wash and against constipation [Ojibwa: 85].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	bark
152	Infusion or decoction cooled and applied to sore eyes [Cree: 95].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots or stem
152	Tea used to induce lactation at the time of childbirth [Cree: 95]. Mixed with other plants and used for urinary problems [Ojibwa: 87].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
152	Diuretic when used with Cornus canadensis [Atikamekw: 73]. Decoction taken in stomach pain [Ojibwa: 47].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	leaves
153	Steeped to make a drink for pulmonary troubles [Ojibwa: 85]. Mixed with Artemisia dracunculus in a decoction used as a hair ointment [Ojibwa: 47].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
153	Tea used as a diuretic [Ojibwa: 87].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	bark
153	Tea used as a laxative [Algonquin: 69].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	inner bark
153	Dreid, pulverized and steeped in water and taken as a physic; green stalk chewed as a physic [Ojibwa: 47].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	stalk
154	Mixed with other plants in a decoction drunk for kidney pain. A different mix is used as a wash for skin diseases, and yet another mix is smoked to treat insanity [Dene: 13].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	frond
155	Boiled and eaten to stimulate appetite [Cree: 93].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	young shoots
155	Cancer medicine [Cree: 93].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
156	Infusion drunk as a vermifugal [Cree: 74].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	rhizomes
157	Dried, steeped into hot water and applied to swells and hemorroids [Montagnais: 71].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	leaves
158	Tea used as a tonic and as a bitter medicine for stomach troubles [Ojibwa: 87].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
159	Powdered and mixed with water to make a paste applied to wounds or given internally as an emetic [Cree: 76].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
160	Tea drunk for diarrhoea [Dene: 100].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	whole plant
160	Used to treat diabetes [Cree: 82].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	berries
160	Mixed with other plants in a decoction drunk to treat cough [Dene: 13; Chipewyan: 92].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
160	Used as a diuretic [Cree: 95]. Boiled with spruce cones and tea applied to sores, or drunk to cure mouth infections and sore throats [Dene: 101].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	twigs
160	Tea drunk for stomach ache and cold [Dene: 99].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots, berries and stems
160	Boiled and tea drunk to cure mouth infections [Dene: 101].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	branches and roots
160	Boiled and tea drunk to ease menstrual pain, pain related to child birth, and to cure mouth infections. Also applied to rashes [Dene: 101].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	branches and berries
161	Tea drunk for kidney disorders [Algonquin: 69].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	leaves
162	Tea used to treat kidney problems, bladder infections or urinary track problems [Dene: 100].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
162	Tea used to cure dropsy [Ojibwa: 87].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	whole plant
162	Decoction used as a diuretic or in kidney troubles [Cree: 95].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	above-ground fertile shoots
162	Burned and the ashes applied to running sores [Metis: 13]. Steamed for nasal congestion, cold and stomach ailments [Dene: 99].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	stem and leaves
162	Decoction drunk as a remedy for dysuria [Ojibwa: 85]. Herbal water used to treat kidney problems [Cree: 93].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	stem
162	Heated and applied to aching teeth [Metis: 13].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
163	Burned and used as a disinfectant [Ojibwa: 47].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	leaves
163	Tea taken in kidney problems [Cree: 96].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	above-ground parts
164	Mixed with Monarda punctata in a tea used for constipation or stomach trouble [Ojibwa: 19].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
165	Mixed with horse-mint in a tea used in stomach trouble [Ojibwa: 86].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
165	Decoction taken as a diuretic [Dene: 98]. Boiled with the roots of Rubus idaeus ssp. strigosus and taken in stomach problems [Dene: 98].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
166	Mixed with other plants and boiled to make a wash for skin diseases [Dene: 13].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	rhizomes
166	Tea used to cure kidney trouble and dropsy [Ojibwa: 87].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	whole plant
167	Used in diarrhoea [Cree: 42]. 	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
167	Steeped to treat "female weaknesses" [Ojibwa: 47].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	whole plant
167	Decoction taken in stomach pain [Ojibwa: 47].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	leaves and roots
168	Dried, smoked and inhaled to cure cold, or tea drunk to break fever [Ojibwa: 87].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	flowers
169	Decoction used for diarrhoea [44].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
170	Perfume inhaled to cure headache [Ojibwa: 87].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
171	Boiled and drunk for stomach problems [Dene: 17]. 	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
171	Used in a mixture with spruce bark or spruce tips (new growth) to treat cancer [Dene: 17].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
172	Remedy for snake bite. Mixed with Iris versicolor and used as a febrifuge or diuretic [44]. 	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
173	Decoction used to treat skin eruptions [Ojibwa: 47].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
174	For menstrual disorders and venereal diseases, or to facilitate childbirth [Algonquin: 69]. 	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
174	Decoction used as a wash for inflamed joints [Ojibwa: 47].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
175	Used as general medicine [Mi'kmaq: 62]. Steeped with other plants (Pyrola uliginosa, Baptisia tinctoria, Galium aperine, Aralia racemosa, Streptopus amplesifolius, Acer pennsylvanicum) and used for gonorrhea, kidney troubles and blood spitting [Algonquians: 63]. Used to strengthen the bones [Abenaki: 67]. Decoction used for fever and cold [44]. Chewed and bound on a rattle-snake bite as a poultice to draw out the poison. Boiled with wild bergamot (Monarda fistulosa) to make a fomentation to be applied for rheumatism [Ojibwa: 85]. 	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
175	Used for menstrual disorders [Ojibwa: 85]. Steeped and liquid taken to treat ulcers [Mi'kmaq: 62].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
176	Boiled and the vapors inhaled to treat cold. Mixed with other species and used to counteract the effects of a miscarriage [Ojibwa: 85]. 	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
177	Pounded and taken as an infusion before eating as a physic [Ojibwa: 87].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
178	Tea used to treat diabetes [Algonquin: 69].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	leaves
179	Tea from young roots used to bathe the head for headache [Ojibwa: 87].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
180	Infusion used for chest pain [Ojibwa: 87].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	flowers
180	Decoction used in lung trouble [Ojibwa: 47].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
181	Cooled decoction used as eye drops to treat snow blindness [Dene: 13; Chipewyan: 92].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
182	Used as a general medicine [Mi'kmaq: 62]. Mixed with bark of Betula lenta and Cornus sericea and used for pulmonary trouble [Ojibwa: 85].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	bark
182	Applied to sores [Malecite: 65]. Soothing to the nerves and the stomach and help stimulate appetite [Mi'kmaq: 62].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	leaves
182	Mixed with water and used as a tonic, antiseptic, or to heal ulcers, liver, kidney or bladder [Mi'kmaq: 62].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	bark and leaves
183	Fruiting body burned to repell mosquitoes and flies [Metis: 13). Dry, spore producing layer cut into matchstick shaped pieces and placed on the skin and burned to produce counter-irritation to treat arthritis [Cree: 95].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
184	Pulverized and applied to frostbite [Cree: 76].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
185	Powdered and mixed with water to make a paste applied to wounds or taken internally as an emetic [Cree: 76]. Smoked to treat headache [Dene: 98].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
186	Mixed with boiling water and used as a blood purifier and blood-building agent [Mi'kmaq: 62].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	leaves, roots and fruits
186	Tea given as a gargle for gum problems, or used in diarrhoea or dysentery, weakness of the intestines, infections of urinary organs, or to prevent night sweats [Mi'kmaq: 62].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	leaves or roots
186	Heart medicine [Dene: 17].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	fruits
186	Boiled with 'Petasites sagittatus and 'Pyrola asarifolia and drunk as a medicine [Dene: 17].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	runners
187	Steeped with Rubus triflorus and given in irregular menstruation [Malecite: 65]. 	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
187	Decoction drunk to treat heart problems [Cree: 13]. Boiled and the liquid drunk as a treatment for diarrhoea [Metis: 13; Cree: 93].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	whole plant
187	Used as an astringent [Ojibwa: 88].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	leaves
187	Used as a diuretic [Ojibwa: 88]. Decoction used in cholera [Ojibwa: 47] and tea in stomach ache [Ojibwa: 87]. Herbal water taken for heart problems [Cree: 93].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
187	Heart medicine [Dene: 17].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	fruits
187	Boiled with 'Petasites sagittatus and 'Pyrola asarifolia and drunk as a medicine [Dene: 17].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	runners
188	Burned and the ash mixed with water and placed on open sores [Dene: 98].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	roots
189	Used as an emmenagogue [Abenaki: 67]. 	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
189	Strong decoction given as a cleanser after delivery [Algonquians: 63; Mi'kmaq: 60].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	leaves
189	Smoke used to treat earache [Algonquin: 68].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	wood
190	Soaked in water and the liquid applied to sore eyes [Ojibwa: 84].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	inner bark
191	Mixed with other plants and used as a tonic [Ojibwa: 87]. Tea used against weariness and depression [Atikamekw: 73].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	inner bark
192	Placed in fire, sap collected from the opposite end and used to treat earache [Algonquin: 69].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	log or branch
192	Decoction taken internally as a tonic and stimulant [Ojibwa: 47].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	inner bark
193	Tea drunk to calm nerves, reduce hyperactivity in children, as a spring tonic, to restore appetite, and to treat bad breath [Dene: 13].	traditional medicinal use	http://doi.org/10.1186/1746-4269-8-7	
